"Mead_Surplus_DV" "Mead_Shortage_e_DV Row 0" "Mead_Shortage_e_DV Row 1" "Mead_Shortage_e_DV Row 2" "Mead_Shortage_e_DV Row 3" "Mead_Shortage_e_DV Row 4" "Mead_Shortage_e_DV Row 5" "Mead_Shortage_e_DV Row 6" "Mead_Shortage_e_DV Row 7" "Mead_Shortage_V_DV Row 0" "Mead_Shortage_V_DV Row 1" "Mead_Shortage_V_DV Row 2" "Mead_Shortage_V_DV Row 3" "Mead_Shortage_V_DV Row 4" "Mead_Shortage_V_DV Row 5" "Mead_Shortage_V_DV Row 6" "Mead_Shortage_V_DV Row 7" "Powell_Tier_Elevation_DV Row 0" "Powell_Tier_Elevation_DV Row 1" "Powell_Tier_Elevation_DV Row 2" "Powell_Tier_Elevation_DV Row 3" "Powell_Tier_Elevation_DV Row 4" "Powell_Primary_Release_Volume_DV Row 0" "Powell_Primary_Release_Volume_DV Row 1" "Powell_Primary_Release_Volume_DV Row 2" "Powell_Primary_Release_Volume_DV Row 3" "Powell_Primary_Release_Volume_DV Row 4" "Powell_Mead_Reference_Elevation_DV Row 0" "Powell_Mead_Reference_Elevation_DV Row 1" "Powell_Mead_Reference_Elevation_DV Row 2" "Powell_Mead_Reference_Elevation_DV Row 3" "Powell_Mead_Reference_Elevation_DV Row 4" "Powell_Balance_Max_Offset_DV Row 0" "Powell_Balance_Max_Offset_DV Row 1" "Powell_Balance_Max_Offset_DV Row 2" "Powell_Balance_Max_Offset_DV Row 3" "Powell_Balance_Max_Offset_DV Row 4" "Powell_Balance_Min_Offset_DV Row 0" "Powell_Balance_Min_Offset_DV Row 1" "Powell_Balance_Min_Offset_DV Row 2" "Powell_Balance_Min_Offset_DV Row 3" "Powell_Balance_Min_Offset_DV Row 4" "Objectives.Powell_3490" "Objectives.Powell_WY_Release" "Objectives.Mead_1000" "Objectives.LB_Shortage_Volume" "Objectives.Mead_1000" "Objectives.LB_Shortage_Volume" "Objectives.Powell_3490" "Objectives.Lee_Ferry_Deficit" "Objectives.Max_Annual_LB_Shortage" "Objectives.Max_Delta_Annual_Shortage" "Objectives.Powell_WY_Release" "Objectives.Avg_Combo_Storage" "Run Succeeded" "Objectives.LB_Shortage_Frequency_Avg" "Objectives.VariableHydrologicShortageIndicatorMetric" "Metrics.Lee_Ferry_Deficit_Avg" "Metrics.Avg_Combo_Storage_Avg" "Metrics.Max_Annual_LB_Shortage_Avg" "Metrics.Max_Delta_Annual_Shortage_Avg" "Metrics.LB_Shortage_Frequency_Max" "Metrics.Powell_3490_Max" "Metrics.Powell_WY_Release_Max" "Metrics.Lee_Ferry_Deficit_Max" "Metrics.Avg_Combo_Storage_Max" "Metrics.Mead_1000_Max" "Metrics.LB_Shortage_Volume_Max" "Metrics.Max_Annual_LB_Shortage_Max" "Metrics.Max_Delta_Annual_Shortage_Max"
5.000000 1110.000000 1000.000000 930.000000 910.000000 900.000000 895.000000 895.000000 895.000000 1400000.000000 800000.000000 400000.000000 400000.000000 200000.000000 200000.000000 200000.000000 200000.000000 3550.000000 3450.000000 3450.000000 3450.000000 3450.000000 10750000.000000 8250000.000000 8000000.000000 5000000.000000 5000000.000000 1080.000000 1010.000000 990.000000 990.000000 980.000000 500000.000000 1000000.000000 500000.000000 500000.000000 0.000000 2000000.000000 1000000.000000 0.000000 1000000.000000 2000000.000000 37.405000 8992215.167500 18.813750 424930.203750 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 68.1813 1 11.7425 -1.86946e+07 250000 150000 100 89.9 1.06639e+07 75.76 -3.57044e+06 81.57 2.18792e+06 400000 200000
20.000000 1025.000000 985.000000 935.000000 900.000000 895.000000 895.000000 895.000000 895.000000 600000.000000 600000.000000 600000.000000 400000.000000 400000.000000 200000.000000 200000.000000 200000.000000 3525.000000 3505.000000 3455.000000 3455.000000 3455.000000 5500000.000000 5000000.000000 5000000.000000 5000000.000000 5000000.000000 1085.000000 1045.000000 1000.000000 980.000000 955.000000 500000.000000 500000.000000 1000000.000000 2000000.000000 1500000.000000 1000000.000000 3000000.000000 3000000.000000 1000000.000000 0.000000 4.451250 8912586.685000 31.345000 449973.463750 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 46.2137 1 14.7725 -1.91386e+07 275000 150000 84.85 31.31 1.06499e+07 78.79 -5.68848e+06 84.34 2.28474e+06 400000 200000
35.000000 905.000000 900.000000 900.000000 895.000000 895.000000 895.000000 895.000000 895.000000 1200000.000000 1200000.000000 600000.000000 200000.000000 200000.000000 200000.000000 200000.000000 200000.000000 3635.000000 3605.000000 3590.000000 3565.000000 3475.000000 7250000.000000 5250000.000000 5000000.000000 5000000.000000 5000000.000000 1050.000000 1010.000000 960.000000 950.000000 950.000000 1500000.000000 0.000000 1000000.000000 1000000.000000 1500000.000000 2000000.000000 1000000.000000 0.000000 1000000.000000 3000000.000000 1.515000 8745648.623750 49.337500 582566.767500 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 34.09 1 19.6975 -2.14414e+07 150000 150000 84.85 12.12 1.05804e+07 84.85 -8.59791e+06 92.42 2.35281e+06 200000 200000
25.000000 1070.000000 945.000000 895.000000 895.000000 895.000000 895.000000 895.000000 895.000000 200000.000000 200000.000000 200000.000000 200000.000000 200000.000000 200000.000000 200000.000000 200000.000000 3550.000000 3450.000000 3450.000000 3450.000000 3450.000000 8750000.000000 6750000.000000 5000000.000000 5000000.000000 5000000.000000 1005.000000 970.000000 965.000000 950.000000 950.000000 1500000.000000 500000.000000 1500000.000000 0.000000 0.000000 0.000000 2000000.000000 1000000.000000 1000000.000000 0.000000 28.472500 8963689.677500 22.285000 417544.462500 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 64.015 1 12.5 -1.85573e+07 200000 175000 100 86.11 1.06535e+07 75.76 -3.65186e+06 81.31 2.18905e+06 200000 200000
15.000000 1070.000000 1055.000000 970.000000 970.000000 940.000000 915.000000 905.000000 900.000000 3200000.000000 1800000.000000 1600000.000000 1400000.000000 800000.000000 400000.000000 400000.000000 200000.000000 3650.000000 3510.000000 3480.000000 3450.000000 3450.000000 7750000.000000 6500000.000000 6000000.000000 5500000.000000 5250000.000000 1145.000000 1045.000000 1015.000000 1005.000000 975.000000 1000000.000000 1000000.000000 1500000.000000 500000.000000 1500000.000000 3000000.000000 1000000.000000 2000000.000000 2000000.000000 2000000.000000 16.415000 8849035.671250 23.643750 541167.092500 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 65.1513 1 14.3938 -2.00211e+07 925000 600000 100 79.29 1.0622e+07 75.76 -4.48643e+06 83.84 2.32934e+06 3.2e+06 2.4e+06
0.000000 900.000000 900.000000 900.000000 895.000000 895.000000 895.000000 895.000000 895.000000 1400000.000000 1200000.000000 600000.000000 200000.000000 200000.000000 200000.000000 200000.000000 200000.000000 3565.000000 3510.000000 3450.000000 3450.000000 3450.000000 12250000.000000 8750000.000000 7750000.000000 7250000.000000 5500000.000000 1075.000000 1010.000000 960.000000 955.000000 955.000000 1500000.000000 1000000.000000 500000.000000 1500000.000000 1000000.000000 4000000.000000 3000000.000000 1000000.000000 3000000.000000 2000000.000000 36.995000 8986268.970000 32.986250 332866.857500 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 14.7725 1 12.5 -1.76632e+07 75000 75000 78.79 88.64 1.06715e+07 75.76 -3.4356e+06 81.82 2.1758e+06 200000 200000
0.000000 1105.000000 1010.000000 985.000000 930.000000 925.000000 900.000000 900.000000 895.000000 200000.000000 200000.000000 200000.000000 200000.000000 200000.000000 200000.000000 200000.000000 200000.000000 3675.000000 3540.000000 3470.000000 3460.000000 3455.000000 5000000.000000 5000000.000000 5000000.000000 5000000.000000 5000000.000000 1070.000000 1050.000000 1000.000000 980.000000 955.000000 0.000000 0.000000 2000000.000000 1000000.000000 1000000.000000 0.000000 1000000.000000 0.000000 1000000.000000 3000000.000000 0.000000 8393180.203750 51.705000 945051.335000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 76.8937 1 31.4387 -2.65179e+07 200000 125000 100 0 1.05051e+07 90.91 -1.72328e+07 98.48 2.93957e+06 200000 200000
30.000000 1045.000000 1015.000000 895.000000 895.000000 895.000000 895.000000 895.000000 895.000000 800000.000000 600000.000000 400000.000000 400000.000000 400000.000000 400000.000000 200000.000000 200000.000000 3700.000000 3700.000000 3645.000000 3605.000000 3470.000000 5500000.000000 5250000.000000 5250000.000000 5000000.000000 5000000.000000 1085.000000 985.000000 960.000000 955.000000 950.000000 500000.000000 1500000.000000 500000.000000 1500000.000000 1000000.000000 2000000.000000 4000000.000000 2000000.000000 4000000.000000 2000000.000000 0.126250 8337811.478750 56.975000 944057.458750 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 68.1813 1 32.9537 -2.65111e+07 200000 175000 100 1.01 1.04301e+07 90.91 -1.36112e+07 98.48 2.59302e+06 200000 200000
20.000000 915.000000 910.000000 895.000000 895.000000 895.000000 895.000000 895.000000 895.000000 1200000.000000 600000.000000 400000.000000 400000.000000 200000.000000 200000.000000 200000.000000 200000.000000 3510.000000 3495.000000 3455.000000 3450.000000 3450.000000 5000000.000000 5000000.000000 5000000.000000 5000000.000000 5000000.000000 1065.000000 1015.000000 985.000000 960.000000 955.000000 2000000.000000 500000.000000 1000000.000000 1000000.000000 500000.000000 3000000.000000 3000000.000000 2000000.000000 1000000.000000 3000000.000000 12.027500 8934935.766250 36.395000 397922.216250 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 23.105 1 14.015 -1.84511e+07 150000 150000 81.82 43.69 1.06542e+07 78.79 -5.38042e+06 84.34 2.27065e+06 200000 200000
25.000000 1015.000000 1005.000000 895.000000 895.000000 895.000000 895.000000 895.000000 895.000000 600000.000000 400000.000000 400000.000000 400000.000000 400000.000000 200000.000000 200000.000000 200000.000000 3700.000000 3695.000000 3630.000000 3590.000000 3450.000000 6500000.000000 6500000.000000 6250000.000000 5750000.000000 5250000.000000 1145.000000 1145.000000 1015.000000 955.000000 955.000000 500000.000000 2000000.000000 500000.000000 1000000.000000 0.000000 3000000.000000 4000000.000000 2000000.000000 4000000.000000 4000000.000000 7.733750 8527643.345000 62.310000 649712.182500 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 64.3937 1 23.8637 -2.17425e+07 200000 200000 96.97 61.87 1.04631e+07 84.85 -4.86018e+06 98.48 2.27607e+06 200000 200000
