volume	color
50	dbfa6e
100	dbf568
150	dcf163
200	dcec5d
250	dce758
300	dce353
350	dcde4e
400	dcd949
450	dcd544
500	dcd03f
550	dccb3a
600	dcc735
650	dcc230
700	dbbd2c
750	dbb927
800	dab423
850	daaf1e
900	d9aa19
950	d9a615
1000	d8a110
1050	d79c0a
1100	d79705
1150	d69301
1200	d58e00
1250	d48900
1300	d38400
1350	d27f00
1400	d17a00
1450	cf7500
1500	ce7000
1550	cd6b00
1600	cb6600
1650	ca6100
1700	c85c00
1750	c65700
1800	c55200
1850	c34c00
1900	c14700
1950	bf4100
2000	bd3b02
2050	b73503
2100	b02f04
2150	aa2905
2200	a32305
2250	9d1d05
2300	961605
2350	900e05
2400	890404
2600	630303
2800	630303
3000	520202
3400	400101
3800	400101
4000	380101
