"","policy","Tier","delta","v_lab","v_col","elevation","volume","TierName"
"1","0001","a",0,NA,"#6d46a5",1220,NA,"Surplus"
"2","0001","b",315,"Normal","#4659a5",1220,NA,"Normal"
"3","0001","c",10,"200 KAF","#dcec5d",905,200,"1"
"4","0001","d",0,"3000 KAF","#520202",895,3000,"2"
"5","0001","e",0,NA,"#000000",895,0,"3"
"6","0001","f",0,NA,"#000000",895,0,"4"
"7","0001","g",0,NA,"#000000",895,0,"5"
"8","0001","h",0,NA,"#000000",895,0,"6"
"9","0001","i",0,NA,"#000000",895,0,"7"
"10","0001","j",0,NA,"#000000",895,0,"8"
"11","0001","k",895,NA,"#000000",895,0,"Dead Pool"
"12","0002","a",35,"Surplus","#6d46a5",1220,NA,"Surplus"
"13","0002","b",40,"Normal","#4659a5",1185,NA,"Normal"
"14","0002","c",5,"200 KAF","#dcec5d",1145,200,"1"
"15","0002","d",245,"2600 KAF","#630303",1140,2600,"2"
"16","0002","e",0,"4000 KAF","#380101",895,4000,"3"
"17","0002","f",0,NA,"#000000",895,0,"4"
"18","0002","g",0,NA,"#000000",895,0,"5"
"19","0002","h",0,NA,"#000000",895,0,"6"
"20","0002","i",0,NA,"#000000",895,0,"7"
"21","0002","j",0,NA,"#000000",895,0,"8"
"22","0002","k",895,NA,"#000000",895,0,"Dead Pool"
"23","0003","a",75,"Surplus","#6d46a5",1220,NA,"Surplus"
"24","0003","b",0,"Normal","#4659a5",1145,NA,"Normal"
"25","0003","c",65,"200 KAF","#dcec5d",1145,200,"1"
"26","0003","d",70,"400 KAF","#dcd949",1080,400,"2"
"27","0003","e",40,"600 KAF","#dcc735",1010,600,"3"
"28","0003","f",30,"1000 KAF","#d8a110",970,1000,"4"
"29","0003","g",45,"1800 KAF","#c55200",940,1800,"5"
"30","0003","h",0,"2200 KAF","#a32305",895,2200,"6"
"31","0003","i",0,NA,"#000000",895,0,"7"
"32","0003","j",0,NA,"#000000",895,0,"8"
"33","0003","k",895,NA,"#000000",895,0,"Dead Pool"
"34","0004","a",45,"Surplus","#6d46a5",1220,NA,"Surplus"
"35","0004","b",30,"Normal","#4659a5",1175,NA,"Normal"
"36","0004","c",250,"2600 KAF","#630303",1145,2600,"1"
"37","0004","d",0,"4000 KAF","#380101",895,4000,"2"
"38","0004","e",0,NA,"#000000",895,0,"3"
"39","0004","f",0,NA,"#000000",895,0,"4"
"40","0004","g",0,NA,"#000000",895,0,"5"
"41","0004","h",0,NA,"#000000",895,0,"6"
"42","0004","i",0,NA,"#000000",895,0,"7"
"43","0004","j",0,NA,"#000000",895,0,"8"
"44","0004","k",895,NA,"#000000",895,0,"Dead Pool"
"45","0005","a",40,"Surplus","#6d46a5",1220,NA,"Surplus"
"46","0005","b",40,"Normal","#4659a5",1180,NA,"Normal"
"47","0005","c",10,"200 KAF","#dcec5d",1140,200,"1"
"48","0005","d",220,"400 KAF","#dcd949",1130,400,"2"
"49","0005","e",5,"2400 KAF","#890404",910,2400,"3"
"50","0005","f",10,"2800 KAF","#630303",905,2800,"4"
"51","0005","g",0,NA,"#000000",895,0,"5"
"52","0005","h",0,NA,"#000000",895,0,"6"
"53","0005","i",0,NA,"#000000",895,0,"7"
"54","0005","j",0,NA,"#000000",895,0,"8"
"55","0005","k",895,NA,"#000000",895,0,"Dead Pool"
"56","0006","a",45,"Surplus","#6d46a5",1220,NA,"Surplus"
"57","0006","b",210,"Normal","#4659a5",1175,NA,"Normal"
"58","0006","c",60,"400 KAF","#dcd949",965,400,"1"
"59","0006","d",5,"800 KAF","#dab423",905,800,"2"
"60","0006","e",5,"1200 KAF","#d58e00",900,1200,"3"
"61","0006","f",0,NA,"#000000",895,0,"4"
"62","0006","g",0,NA,"#000000",895,0,"5"
"63","0006","h",0,NA,"#000000",895,0,"6"
"64","0006","i",0,NA,"#000000",895,0,"7"
"65","0006","j",0,NA,"#000000",895,0,"8"
"66","0006","k",895,NA,"#000000",895,0,"Dead Pool"
