"","policy","Tier","value","delta","t_lab","TierName"
"1","0001","a",3700,0,NA,"Equalization"
"2","0001","b",3700,35,"Release 7.5 maf; Balance  5.5 - 9 maf if Mead < 1010 ft","Tier1"
"3","0001","c",3665,35,"Release 6 maf; Balance  2 - 7 maf if Mead < 960 ft","Tier2"
"4","0001","d",3630,155,"Release 5 maf; Balance  4 - 5 maf if Mead < 950 ft","Tier3"
"5","0001","e",3475,105,"Release 5 maf; Balance  1 - 5 maf if Mead < 950 ft","Tier4"
"6","0001","f",3370,0,NA,"Tier5"
"7","0001","g",3370,3370,NA,"Dead Pool"
"8","0002","a",3700,130,"Equalization","Equalization"
"9","0002","b",3570,105,"Release 14 maf; Balance  10 - 15 maf if Mead < 1085 ft","Tier1"
"10","0002","c",3465,10,"Release 12.5 maf; Balance  8.5 - 13.5 maf if Mead < 1085 ft","Tier2"
"11","0002","d",3455,85,"Release 8 maf; Balance  4 - 8.5 maf if Mead < 1010 ft","Tier3"
"12","0002","e",3370,0,NA,"Tier4"
"13","0002","f",3370,0,NA,"Tier5"
"14","0002","g",3370,3370,NA,"Dead Pool"
"15","0003","a",3700,0,NA,"Equalization"
"16","0003","b",3700,250,"Release 7 maf; Balance  5 - 8.5 maf if Mead < 1050 ft","Tier1"
"17","0003","c",3450,80,"Release 5.5 maf; Balance  5.5 - 6.5 maf if Mead < 960 ft","Tier2"
"18","0003","d",3370,0,NA,"Tier3"
"19","0003","e",3370,0,NA,"Tier4"
"20","0003","f",3370,0,NA,"Tier5"
"21","0003","g",3370,3370,NA,"Dead Pool"
"22","0004","a",3700,215,"Equalization","Equalization"
"23","0004","b",3485,30,"Release 15 maf; Balance  11 - 15 maf if Mead < 1100 ft","Tier1"
"24","0004","c",3455,5,"Release 5 maf; Balance  1 - 6 maf if Mead < 1100 ft","Tier2"
"25","0004","d",3450,80,"Release 5 maf; Balance  1 - 5 maf if Mead < 995 ft","Tier3"
"26","0004","e",3370,0,NA,"Tier4"
"27","0004","f",3370,0,NA,"Tier5"
"28","0004","g",3370,3370,NA,"Dead Pool"
"29","0005","a",3700,130,"Equalization","Equalization"
"30","0005","b",3570,105,"Release 13.75 maf; Balance  9.75 - 13.75 maf if Mead < 1085 ft","Tier1"
"31","0005","c",3465,5,"Release 5.5 maf; Balance  1.5 - 6.5 maf if Mead < 970 ft","Tier2"
"32","0005","d",3460,5,"Release 5.25 maf; Balance  1.25 - 5.75 maf if Mead < 960 ft","Tier3"
"33","0005","e",3455,85,"Release 5 maf; Balance  5 - 7 maf if Mead < 960 ft","Tier4"
"34","0005","f",3370,0,NA,"Tier5"
"35","0005","g",3370,3370,NA,"Dead Pool"
"36","0006","a",3700,0,NA,"Equalization"
"37","0006","b",3700,85,"Release 5 maf; Balance  4 - 5.5 maf if Mead < 1075 ft","Tier1"
"38","0006","c",3615,105,"Release 5 maf; Balance  4 - 5 maf if Mead < 1040 ft","Tier2"
"39","0006","d",3510,50,"Release 5 maf; Balance  4 - 6.5 maf if Mead < 995 ft","Tier3"
"40","0006","e",3460,10,"Release 5 maf; Balance  3 - 6 maf if Mead < 965 ft","Tier4"
"41","0006","f",3450,80,"Release 5 maf; Balance  3 - 6 maf if Mead < 960 ft","Tier5"
"42","0006","g",3370,3370,NA,"Dead Pool"
